schema_version,record_kind,method,execution_model,amplitude_numerator,amplitude_denominator,amplitude,table_layout,visibility_table_sha256,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,evaluation_schedule,shots_per_circuit,total_shots,repeat,warmup,sampling_seed,status,error,runtime_warnings,classical_samples,classical_successes,sampling,estimate,signed_error,absolute_error,confidence_interval_low,confidence_interval_high,confidence_interval_level,confidence_interval_method,estimator_runtime_ms,confidence_interval_postprocessing_ms,operational_method_runtime_ms,audit_end_to_end_ms,runtime_execution_sequence,runtime_phase_pair_sequence,runtime_pair_id,runtime_within_pair_position,runtime_paired_method_order,runtime_order_seed,runtime_order_phase_seed,runtime_order_phase,state_preparation_applications,inverse_state_preparation_applications,grover_iterations,good_state_markings,distinct_circuits,sampler_jobs,oracle_synthesis_ms,sampler_algorithm_setup_ms,analysis_copy_transpilation_ms,max_transpiled_quantum_depth,max_transpiled_quantum_gate_count,schedule_transpiled_quantum_gate_count,shot_weighted_transpiled_quantum_gate_count,per_circuit_transpiled_metrics,transpilation_basis_gates,transpilation_optimization_level,transpilation_target
1.0,actual_runtime_and_circuit_metrics,qiskit_statevector_mlae,Qiskit StatevectorSampler finite-shot CPU simulation of synthesized circuits; not a QPU,8,64,0.125,contiguous_prefix_visible_then_blocked,407b84e032b28972b59fe5732c4e37776624a39308e563a5604359ca2b16ec23,64,35,64,True,False,"[0,1,2,4,8]",1,5,-1,True,2209972084,ok,,[],,,,0.12726297225402192,0.0022629722540219166,0.0022629722540219166,0.08958027263240104,0.17229059098815494,0.95,qiskit_mlae_likelihood_ratio,2028.193958,101.59025,2130.936333,2483.108875,10,5,warmup-0005,0,qiskit_then_mc,20260802,4039239741,warmup,20,15,15,15,5,1,1.142833,0.005583,352.168125,30548,46822,95910,95910,"[{""grover_power"":0,""max_transpiled_quantum_depth"":1700,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":1088,""measure"":1,""u"":1510},""qubits"":7,""transpiled_quantum_gate_count"":2598},{""grover_power"":1,""max_transpiled_quantum_depth"":5306,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":3400,""measure"":1,""u"":4726},""qubits"":7,""transpiled_quantum_gate_count"":8126},{""grover_power"":2,""max_transpiled_quantum_depth"":8912,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":5712,""measure"":1,""u"":7942},""qubits"":7,""transpiled_quantum_gate_count"":13654},{""grover_power"":4,""max_transpiled_quantum_depth"":16124,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":10336,""measure"":1,""u"":14374},""qubits"":7,""transpiled_quantum_gate_count"":24710},{""grover_power"":8,""max_transpiled_quantum_depth"":30548,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":19584,""measure"":1,""u"":27238},""qubits"":7,""transpiled_quantum_gate_count"":46822}]","[""u"",""cx""]",0,none; all-to-all analysis without a backend target or coupling map
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,8,64,0.125,contiguous_prefix_visible_then_blocked,407b84e032b28972b59fe5732c4e37776624a39308e563a5604359ca2b16ec23,64,35,64,True,False,,,,-1,True,3214804831,ok,,[],35,4,with_replacement,0.11428571428571428,-0.010714285714285718,0.010714285714285718,0.0453517933309736,0.25951468646213804,0.95,wilson_score,0.023583,0.006708,0.030333,0.030333,11,5,warmup-0005,1,qiskit_then_mc,20260802,4039239741,warmup,,,,,,,,,,,,,,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,63,64,0.984375,contiguous_prefix_visible_then_blocked,4a22bb45b68e2388bce472d38b49adb1bb6b08e220e9edede71b70cc62ad2db2,512,490,64,True,True,,,,-1,True,1971304472,ok,,[],490,486,with_replacement,0.9918367346938776,0.007461734693877564,0.007461734693877564,0.9792007224208351,0.9968210177364779,0.95,wilson_score,0.114916,0.002292,0.11725,0.11725,12,6,warmup-0006,0,mc_then_qiskit,20260802,4039239741,warmup,,,,,,,,,,,,,,,,,
1.0,actual_runtime_and_circuit_metrics,qiskit_statevector_mlae,Qiskit StatevectorSampler finite-shot CPU simulation of synthesized circuits; not a QPU,63,64,0.984375,contiguous_prefix_visible_then_blocked,4a22bb45b68e2388bce472d38b49adb1bb6b08e220e9edede71b70cc62ad2db2,512,490,64,True,True,"[0,1,2,4,8]",14,70,-1,True,3489526108,ok,,[],,,,0.9838924289449696,-0.00048257105503035636,0.00048257105503035636,0.9803172027314252,0.9870018397407627,0.95,qiskit_mlae_likelihood_ratio,10922.919375,99.099,11026.189209,13113.397792,13,6,warmup-0006,1,mc_then_qiskit,20260802,4039239741,warmup,280,210,210,210,5,1,4.162291,0.005,2087.202292,227715,346651,713205,9984870,"[{""grover_power"":0,""max_transpiled_quantum_depth"":13299,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":8568,""measure"":1,""u"":11667},""qubits"":7,""transpiled_quantum_gate_count"":20235},{""grover_power"":1,""max_transpiled_quantum_depth"":40101,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":25840,""measure"":1,""u"":35197},""qubits"":7,""transpiled_quantum_gate_count"":61037},{""grover_power"":2,""max_transpiled_quantum_depth"":66903,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":43112,""measure"":1,""u"":58727},""qubits"":7,""transpiled_quantum_gate_count"":101839},{""grover_power"":4,""max_transpiled_quantum_depth"":120507,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":77656,""measure"":1,""u"":105787},""qubits"":7,""transpiled_quantum_gate_count"":183443},{""grover_power"":8,""max_transpiled_quantum_depth"":227715,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":146744,""measure"":1,""u"":199907},""qubits"":7,""transpiled_quantum_gate_count"":346651}]","[""u"",""cx""]",0,none; all-to-all analysis without a backend target or coupling map
1.0,actual_runtime_and_circuit_metrics,qiskit_statevector_mlae,Qiskit StatevectorSampler finite-shot CPU simulation of synthesized circuits; not a QPU,64,64,1.0,contiguous_prefix_visible_then_blocked,7c8975e1e60a5c8337f28edf8c33c3b180360b7279644a9bc1af3c51e6220bf5,512,490,64,True,True,"[0,1,2,4,8]",14,70,-1,True,3610436303,ok,,"[""RuntimeWarning: divide by zero encountered in scalar divide""]",,,,1.0,0.0,0.0,0.9996669283306872,1.0,0.95,qiskit_mlae_likelihood_ratio,693.046875,99.376542,792.992458,812.653458,14,7,warmup-0007,0,qiskit_then_mc,20260802,4039239741,warmup,280,210,210,210,5,1,0.558375,0.005875,19.657667,1716,2775,5225,73150,"[{""grover_power"":0,""max_transpiled_quantum_depth"":1,""operation_counts_including_non_gates"":{""barrier"":1,""measure"":1,""u"":7},""qubits"":7,""transpiled_quantum_gate_count"":7},{""grover_power"":1,""max_transpiled_quantum_depth"":218,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":136,""measure"":1,""u"":217},""qubits"":7,""transpiled_quantum_gate_count"":353},{""grover_power"":2,""max_transpiled_quantum_depth"":432,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":272,""measure"":1,""u"":427},""qubits"":7,""transpiled_quantum_gate_count"":699},{""grover_power"":4,""max_transpiled_quantum_depth"":860,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":544,""measure"":1,""u"":847},""qubits"":7,""transpiled_quantum_gate_count"":1391},{""grover_power"":8,""max_transpiled_quantum_depth"":1716,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":1088,""measure"":1,""u"":1687},""qubits"":7,""transpiled_quantum_gate_count"":2775}]","[""u"",""cx""]",0,none; all-to-all analysis without a backend target or coupling map
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,64,64,1.0,contiguous_prefix_visible_then_blocked,7c8975e1e60a5c8337f28edf8c33c3b180360b7279644a9bc1af3c51e6220bf5,512,490,64,True,True,,,,-1,True,1976617161,ok,,[],490,490,with_replacement,1.0,0.0,0.0,0.9922212711142809,1.0,0.95,wilson_score,0.118167,0.008875,0.127083,0.127083,15,7,warmup-0007,1,qiskit_then_mc,20260802,4039239741,warmup,,,,,,,,,,,,,,,,,
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,32,64,0.5,contiguous_prefix_visible_then_blocked,037d6dfb3a369a41e01100fdd53c35ee3fb69ddec5830d61e1138d066a4c2285,32,18,64,False,False,,,,-1,True,670683612,ok,,[],18,8,with_replacement,0.4444444444444444,-0.05555555555555558,0.05555555555555558,0.2455951812700564,0.6628358435795721,0.95,wilson_score,0.011667,0.001958,0.013667,0.013667,16,8,warmup-0008,0,mc_then_qiskit,20260802,4039239741,warmup,,,,,,,,,,,,,,,,,
1.0,actual_runtime_and_circuit_metrics,qiskit_statevector_mlae,Qiskit StatevectorSampler finite-shot CPU simulation of synthesized circuits; not a QPU,32,64,0.5,contiguous_prefix_visible_then_blocked,037d6dfb3a369a41e01100fdd53c35ee3fb69ddec5830d61e1138d066a4c2285,32,18,64,False,False,"[0,1,2,4]",1,4,-1,True,3707564419,ok,,"[""RuntimeWarning: divide by zero encountered in scalar divide""]",,,,1.0,0.5,0.5,0.9863123486604318,1.0,0.95,qiskit_mlae_likelihood_ratio,2934.406791,40.216167,2977.035833,3508.9225,17,8,warmup-0008,1,mc_then_qiskit,20260802,4039239741,warmup,11,7,7,7,4,1,2.404,0.004959,531.8835,61916,94118,187904,187904,"[{""grover_power"":0,""max_transpiled_quantum_depth"":6788,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":4352,""measure"":1,""u"":5958},""qubits"":7,""transpiled_quantum_gate_count"":10310},{""grover_power"":1,""max_transpiled_quantum_depth"":20570,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":13192,""measure"":1,""u"":18070},""qubits"":7,""transpiled_quantum_gate_count"":31262},{""grover_power"":2,""max_transpiled_quantum_depth"":34352,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":22032,""measure"":1,""u"":30182},""qubits"":7,""transpiled_quantum_gate_count"":52214},{""grover_power"":4,""max_transpiled_quantum_depth"":61916,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":39712,""measure"":1,""u"":54406},""qubits"":7,""transpiled_quantum_gate_count"":94118}]","[""u"",""cx""]",0,none; all-to-all analysis without a backend target or coupling map
1.0,actual_runtime_and_circuit_metrics,qiskit_statevector_mlae,Qiskit StatevectorSampler finite-shot CPU simulation of synthesized circuits; not a QPU,1,64,0.015625,contiguous_prefix_visible_then_blocked,16abab341fb7f370e27e4dadcf81766dd0dfd0ae64469477bb2cf6614938b2af,64,35,64,True,False,"[0,1,2,4,8]",1,5,-1,True,1392469639,ok,,[],,,,1e-30,-0.015625,0.015625,1e-30,0.00390950341710986,0.95,qiskit_mlae_likelihood_ratio,848.998583,99.479792,949.189584,1002.396459,18,9,warmup-0009,0,qiskit_then_mc,20260802,4039239741,warmup,20,15,15,15,5,1,0.701333,0.005792,53.203292,5320,8317,16635,16635,"[{""grover_power"":0,""max_transpiled_quantum_depth"":216,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":136,""measure"":1,""u"":197},""qubits"":7,""transpiled_quantum_gate_count"":333},{""grover_power"":1,""max_transpiled_quantum_depth"":854,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":544,""measure"":1,""u"":787},""qubits"":7,""transpiled_quantum_gate_count"":1331},{""grover_power"":2,""max_transpiled_quantum_depth"":1492,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":952,""measure"":1,""u"":1377},""qubits"":7,""transpiled_quantum_gate_count"":2329},{""grover_power"":4,""max_transpiled_quantum_depth"":2768,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":1768,""measure"":1,""u"":2557},""qubits"":7,""transpiled_quantum_gate_count"":4325},{""grover_power"":8,""max_transpiled_quantum_depth"":5320,""operation_counts_including_non_gates"":{""barrier"":1,""cx"":3400,""measure"":1,""u"":4917},""qubits"":7,""transpiled_quantum_gate_count"":8317}]","[""u"",""cx""]",0,none; all-to-all analysis without a backend target or coupling map
1.0,actual_runtime_and_circuit_metrics,classical_monte_carlo,Python table MC,1,64,0.015625,contiguous_prefix_visible_then_blocked,16abab341fb7f370e27e4dadcf81766dd0dfd0ae64469477bb2cf6614938b2af,64,35,64,True,False,,,,-1,True,597515481,ok,,[],35,0,with_replacement,0.0,-0.015625,0.015625,0.0,0.09890099232440398,0.95,wilson_score,0.024667,0.00675,0.0315,0.0315,19,9,warmup-0009,1,qiskit_then_mc,20260802,4039239741,warmup,,,,,,,,,,,,,,,,,
