schema_version,summary_kind,analysis_model,method,amplitude_numerator,amplitude_denominator,amplitude,requested_oracle_budget,logical_lookup_oracle_calls,oracle_domain_size,requested_budget_ge_domain_size,realized_calls_ge_domain_size,evaluation_schedule,shots_per_circuit,n,n_requested,n_failed,mean_estimate,bias,rmse,sample_std,sample_variance,mean_absolute_error,empirical_ci_coverage,mean_ci_width,confidence_level,bootstrap_replicates,bootstrap_confidence_level,bootstrap_base_seed,bootstrap_group_seed,bias_bootstrap_ci_low,bias_bootstrap_ci_high,rmse_bootstrap_ci_low,rmse_bootstrap_ci_high,sample_std_bootstrap_ci_low,sample_std_bootstrap_ci_high,full_range_loglog_rmse_slope,slope_status,slope_point_count,slope_min_logical_lookup_oracle_calls,slope_max_logical_lookup_oracle_calls,full_range_loglog_rmse_slope_bootstrap_ci_low,full_range_loglog_rmse_slope_bootstrap_ci_high,slope_bootstrap_valid_resamples,slope_bootstrap_joint_replicates,slope_bootstrap_seed
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,1,64,0.015625,512,490,64,True,True,"[0,1,2,4,8]",14,256,256,0,0.015529155731201172,-9.584426879882812e-05,0.001703201455185051,0.001703833650525664,2.9030491086636103e-06,0.0012335777282714844,0.94921875,0.006602764129638672,0.95,2000,0.95,20260801,3988562689,-0.00030710697174072263,9.871721267700189e-05,0.001453145321708297,0.002018954610598348,0.0014522243235526044,0.002012431579676508,-1.2615738879880376,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.3543676742587105,-1.1818289996118245,2000,256,4144073305
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,1,64,0.015625,1024,1015,64,True,True,"[0,1,2,4,8]",29,256,256,0,0.015631675720214844,6.67572021484375e-06,0.0011477612041681817,0.001149990062084291,1.3224771428926318e-06,0.0009202957153320312,0.95703125,0.004346370697021484,0.95,2000,0.95,20260801,2161318941,-0.0001359105110168457,0.0001497745513916013,0.0010479404538249306,0.0012517183742758154,0.0010459255365724883,0.0012502571347127124,-1.2615738879880376,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.3543676742587105,-1.1818289996118245,2000,256,4144073305
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,8,64,0.125,32,18,64,False,False,"[0,1,2,4]",1,256,256,0,0.2203655242919922,0.09536552429199219,0.2881164819478799,0.27240850329586896,0.07420639266789544,0.11778736114501953,0.92578125,0.3539104461669922,0.95,2000,0.95,20260801,1011620174,0.06223067045211793,0.12897387742996214,0.23532375537079728,0.3323794002329418,0.22759402566578743,0.30745279017682076,-1.1523091967714647,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2367877371061988,-1.0989975879629108,2000,256,2780160175
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,8,64,0.125,64,35,64,True,False,"[0,1,2,4,8]",1,256,256,0,0.2128586769104004,0.08785867691040039,0.2601259756524585,0.24531909817326325,0.06018145992854318,0.09795999526977539,0.91015625,0.29341554641723633,0.95,2000,0.95,20260801,2299231069,0.059178829193115234,0.11860275268554686,0.21103808856167394,0.304603815407027,0.20284220547425233,0.2814221467840931,-1.1523091967714647,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2367877371061988,-1.0989975879629108,2000,256,2780160175
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,8,64,0.125,128,105,64,True,True,"[0,1,2,4,8]",3,256,256,0,0.14156484603881836,0.01656484603881836,0.08466210475610261,0.08318840255486092,0.006920310319629589,0.019686222076416016,0.9765625,0.12108135223388672,0.95,2000,0.95,20260801,316589628,0.0071331977844238306,0.027887070178985587,0.04699013099419912,0.11553759822462789,0.046507608589141235,0.11269587302499301,-1.1523091967714647,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2367877371061988,-1.0989975879629108,2000,256,2780160175
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,8,64,0.125,256,245,64,True,True,"[0,1,2,4,8]",7,256,256,0,0.1278247833251953,0.0028247833251953125,0.021187596484051788,0.021039581749346503,0.0004426640001874344,0.0056552886962890625,0.9765625,0.035696983337402344,0.95,2000,0.95,20260801,979667769,0.0010247111320495605,0.005776715278625484,0.005589375081484158,0.03575351546045672,0.005412748921864214,0.03543466338519813,-1.1523091967714647,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2367877371061988,-1.0989975879629108,2000,256,2780160175
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,8,64,0.125,512,490,64,True,True,"[0,1,2,4,8]",14,256,256,0,0.12661170959472656,0.0016117095947265625,0.005676331058291796,0.0054533746972850565,2.9739295588988884e-05,0.004314422607421875,0.94140625,0.023150920867919922,0.95,2000,0.95,20260801,2228602657,0.0009822607040405275,0.0022649884223937987,0.005041964469108833,0.006252919875644895,0.004874313540203885,0.00602004549241849,-1.1523091967714647,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2367877371061988,-1.0989975879629108,2000,256,2780160175
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,8,64,0.125,1024,1015,64,True,True,"[0,1,2,4,8]",29,256,256,0,0.1265273094177246,0.0015273094177246094,0.004832190122821986,0.0045934527811217615,2.1099808452395248e-05,0.003646373748779297,0.953125,0.016232967376708984,0.95,2000,0.95,20260801,2604551855,0.0009516477584838869,0.00210583209991455,0.004272261336475428,0.005419826908217819,0.004107407502120654,0.0050751087527371825,-1.1523091967714647,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.2367877371061988,-1.0989975879629108,2000,256,2780160175
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,32,64,0.5,32,18,64,False,False,"[0,1,2,4]",1,256,256,0,0.5058608055114746,0.005860805511474609,0.37152328297798143,0.37220472646583574,0.13853635840350761,0.34958982467651367,0.4453125,0.45807456970214844,0.95,2000,0.95,20260801,464145501,-0.04012759923934936,0.05058228969573971,0.3575966616318727,0.3850791263436359,0.3571655874012808,0.3849458153044779,-1.0193332770896635,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.179186726655889,-0.9740763087536501,2000,256,4034493218
1.0,analytical_statistics,analytical measurement model: finite-shot binomial circuit outcomes; no QPU execution and no statevector simulation runtime,analytical_mlae,32,64,0.5,64,35,64,True,False,"[0,1,2,4,8]",1,256,256,0,0.5188283920288086,0.018828392028808594,0.3893195614655563,0.3896257350676954,0.15180821342704195,0.3674640655517578,0.5,0.49198055267333984,0.95,2000,0.95,20260801,3959904036,-0.02878724336624145,0.0675633907318115,0.37730053084327664,0.4012240321224006,0.376127943180907,0.4012678439922268,-1.0193332770896635,all_preregistered_budget_points_positive_rmse,6,18,1015,-1.179186726655889,-0.9740763087536501,2000,256,4034493218
